,date,temp,weather,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
37,02-07-21,14ʡC,Overcast,Algeria,08-02-21 5:22,109088,2914,74692,31482,248.7694534,2.6712379
38,02-08-21,16ʡC,Partly sunny,Algeria,09-02-21 5:23,109313,2918,74871,31524,249.2825541,2.669398882
39,02-09-21,17ʡC,Partly sunny,Algeria,10-02-21 5:22,109559,2924,75057,31578,249.8435442,2.668881607
40,02-10-21,19ʡC,Overcast,Algeria,11-02-21 5:23,109782,2926,75243,31613,250.352084,2.665282105
41,02-11-21,17ʡC,Scattered clouds,Algeria,12-02-21 5:23,110049,2930,75436,31683,250.9609635,2.662450363
42,02-12-21,17ʡC,Passing clouds,Algeria,13-02-21 5:22,110303,2932,75628,31743,251.5401971,2.658132598
43,02-13-2021,18ʡC,Scattered clouds,Algeria,14-02-21 5:23,110513,2935,75816,31762,252.0190911,2.655796151
44,02-14-2021,14ʡC,Overcast,Algeria,15-02-21 5:24,110711,2939,75999,31773,252.4706197,2.654659429
45,02-15-2021,12ʡC,Scattered clouds,Algeria,16-02-21 5:24,110894,2943,76168,31783,252.8879416,2.653885693
46,02-16-2021,14ʡC,Passing clouds,Algeria,17-02-21 5:23,111069,2945,76330,31794,253.2870199,2.65150492
47,02-17-2021,18ʡC,Passing clouds,Algeria,18-02-21 5:22,111247,2947,76489,31811,253.6929395,2.649060199
48,02-18-2021,20ʡC,Scattered clouds,Algeria,19-02-21 5:24,111418,2950,76640,31828,254.082896,2.647687088
49,02-19-2021,15ʡC,Partly sunny,Algeria,20-02-21 5:22,111600,2954,76797,31849,254.4979375,2.646953405
50,02-20-2021,19ʡC,Sunny,Algeria,21-02-21 5:24,111764,2958,76940,31866,254.8719309,2.646648295
51,02-21-2021,23ʡC,Partly sunny,Algeria,22-02-21 5:24,111917,2961,77076,31880,255.2208393,2.645710661
52,02-22-2021,12ʡC,Overcast,Algeria,23-02-21 5:23,112094,2964,77225,31905,255.6244785,2.644209324
53,02-23-2021,12ʡC,Overcast,Algeria,24-02-21 5:29,112279,2967,77382,31930,256.0463613,2.642524426
54,02-24-2021,15ʡC,Passing clouds,Algeria,25-02-21 5:24,112461,2970,77537,31954,256.4614028,2.640915517
55,02-25-2021,14ʡC,Fog,Algeria,26-02-21 5:22,112622,2973,77683,31966,256.8285548,2.639803946
56,02-26-2021,14ʡC,Passing clouds,Algeria,27-02-21 5:22,112805,2977,77842,31986,257.2458767,2.639067417
57,02-27-2021,14ʡC,Partly sunny,Algeria,28-02-21 5:22,112960,2979,77976,32005,257.599346,2.637216714
58,02-28-2021,15ʡC,Sunny,Algeria,01-03-21 5:23,113092,2983,78098,32011,257.9003651,2.637675521
59,03-01-21,16ʡC,Overcast,Algeria,02-03-21 5:23,113255,2987,78234,32034,258.272078,2.637411152
60,03-02-21,17ʡC,Overcast,Algeria,03-03-21 5:23,113430,2991,78377,32062,258.6711564,2.636868553
61,03-03-21,16ʡC,Overcast,Algeria,04-03-21 5:24,113593,2996,78524,32073,259.0428693,2.637486465
62,03-04-21,15ʡC,Overcast,Algeria,05-03-21 5:26,113761,3002,78672,32087,259.4259845,2.638865692
63,03-05-21,15ʡC,Fog,Algeria,06-03-21 4:23,113948,3007,78824,32117,259.8524281,2.638923018
64,03-06-21,15ʡC,Partly sunny,Algeria,07-03-21 5:21,114104,3010,78946,32148,260.2081779,2.637944331
65,03-07-21,16ʡC,Partly sunny,Algeria,08-03-21 5:24,114234,3013,79064,32157,260.5046361,2.6375685
66,03-08-21,18ʡC,Scattered clouds,Algeria,09-03-21 5:28,114382,3018,79187,32177,260.8421423,2.638527041
67,03-09-21,14ʡC,Overcast,Algeria,10-03-21 5:24,114543,3022,79319,32202,261.2092944,2.638310503
68,03-10-21,15ʡC,Passing clouds,Algeria,11-03-21 5:25,114681,3026,79428,32227,261.5239961,2.63862366
69,03-11-21,16ʡC,Sunny,Algeria,12-03-21 5:26,114851,3028,79556,32267,261.9116722,2.636459413
70,03-12-21,20ʡC,Sunny,Algeria,13-03-21 5:25,115008,3031,79672,32305,262.2697025,2.635468837
71,03-13-2021,16ʡC,Scattered clouds,Algeria,14-03-21 5:25,115143,3034,79783,32326,262.5775629,2.634984324
72,03-14-2021,17ʡC,Partly sunny,Algeria,15-03-21 5:25,115265,3036,79887,32342,262.8557775,2.633930508
73,03-15-2021,15ʡC,Scattered clouds,Algeria,16-03-21 5:25,115410,3040,79994,32376,263.1864423,2.634087167
74,03-16-2021,15ʡC,Passing clouds,Algeria,17-03-21 5:25,115540,3045,80103,32392,263.4829005,2.635450926
75,03-17-2021,15ʡC,Passing clouds,Algeria,18-03-21 5:26,115688,3048,80219,32421,263.8204067,2.634672568
76,03-18-2021,14ʡC,Passing clouds,Algeria,19-03-21 5:26,115842,3051,80347,32444,264.1715956,2.633759776
77,03-19-2021,12ʡC,Overcast,Algeria,20-03-21 5:25,115970,3053,80455,32462,264.4634929,2.632577391
78,03-20-2021,10ʡC,Partly sunny,Algeria,21-03-21 5:25,116066,3055,80566,32445,264.6824159,2.632123102
79,03-21-2021,12ʡC,Partly sunny,Algeria,22-03-21 5:25,116157,3057,80659,32441,264.8899366,2.631782846
80,03-22-2021,12ʡC,Overcast,Algeria,23-03-21 5:26,116255,3061,80887,32307,265.1134204,2.633005032
81,03-23-2021,15ʡC,Passing clouds,Algeria,24-03-21 5:25,116349,3066,80981,32302,265.3277825,2.635175206
82,03-24-2021,16ʡC,Sunny,Algeria,25-03-21 5:27,116438,3069,81065,32304,265.5307423,2.635737474
83,03-25-2021,16ʡC,Sunny,Algeria,26-03-21 5:26,116543,3071,81065,32407,265.7701893,2.635078898
84,03-26-2021,17ʡC,Passing clouds,Algeria,27-03-21 5:25,116657,3074,81160,32423,266.0301603,2.635075478
85,03-27-2021,18ʡC,Passing clouds,Algeria,28-03-21 5:28,116750,3077,81242,32431,266.2422419,2.635546039
86,03-28-2021,20ʡC,Scattered clouds,Algeria,29-03-21 4:28,116836,3080,81316,32440,266.4383604,2.636173782
87,03-29-2021,19ʡC,Passing clouds,Algeria,30-03-21 4:26,116946,3084,81349,32513,266.6892097,2.637114566
88,03-30-2021,17ʡC,Overcast,Algeria,31-03-21 4:26,117061,3089,81442,32530,266.9514611,2.638795158
89,03-31-2021,17ʡC,Passing clouds,Algeria,01-04-21 4:27,117192,3093,81538,32561,267.2501997,2.639258652
90,04-01-21,19ʡC,Scattered clouds,Algeria,02-04-21 4:20,117304,3096,81632,32576,267.5056098,2.639296188
91,04-02-21,19ʡC,Partly sunny,Algeria,03-04-21 4:20,117429,3099,81729,32601,267.7906658,2.639041463
92,04-03-21,19ʡC,Passing clouds,Algeria,04-04-21 4:20,117524,3102,81813,32609,268.0073083,2.639460876
93,04-04-21,15ʡC,Rain Overcast,Algeria,05-04-21 4:20,117622,3105,81896,32621,268.2307921,2.63981228
94,04-05-21,17ʡC,Partly sunny,Algeria,06-04-21 4:20,117739,3108,81994,32637,268.4976045,2.639737045
95,04-06-21,20ʡC,Sunny,Algeria,07-04-21 4:20,117879,3112,82096,32671,268.8168671,2.639995249
96,04-07-21,17ʡC,Overcast,Algeria,08-04-21 4:21,118004,3116,82192,32696,269.1019231,2.640588455
97,04-08-21,14ʡC,Scattered clouds,Algeria,09-04-21 4:21,118116,3119,82289,32708,269.3573332,2.640624471
98,04-09-21,17ʡC,Overcast,Algeria,10-04-21 4:20,118251,3123,82392,32736,269.6651936,2.640992465
99,04-10-21,22ʡC,Overcast,Algeria,11-04-21 4:20,118378,3126,82493,32759,269.9548104,2.640693372
100,04-11-21,19ʡC,Overcast,Algeria,12-04-21 4:21,118516,3130,82600,32786,270.2695122,2.640993621
101,04-12-21,17ʡC,Overcast,Algeria,13-04-21 4:20,118645,3134,82704,32807,270.5636899,2.641493531
102,04-13-2021,16ʡC,Scattered clouds,Algeria,14-04-21 4:20,118799,3137,82813,32849,270.9148788,2.640594618
103,04-14-2021,16ʡC,Overcast,Algeria,15-04-21 4:20,118975,3141,82929,32905,271.3162376,2.640050431
104,04-15-2021,15ʡC,Overcast,Algeria,16-04-21 4:20,119142,3144,83048,32950,271.6970723,2.638867906
105,04-16-2021,13ʡC,Light rain Overcast,Algeria,17-04-21 4:20,119323,3148,83169,33006,272.1098333,2.638217276
106,04-17-2021,11ʡC,Overcast,Algeria,18-04-21 4:20,119486,3152,83286,33048,272.4815462,2.637965954
107,04-18-2021,13ʡC,Scattered clouds,Algeria,19-04-21 4:20,119642,3155,83397,33090,272.837296,2.637033818
108,04-19-2021,18ʡC,Sunny,Algeria,20-04-21 4:20,119805,3160,83514,33131,273.209009,2.637619465
109,04-20-2021,18ʡC,Passing clouds,Algeria,21-04-21 4:21,119992,3165,83636,33191,273.6354526,2.637675845
110,04-21-2021,18ʡC,Partly sunny,Algeria,22-04-21 4:20,120174,3172,83765,33237,274.0504941,2.63950605
111,04-22-2021,17ʡC,Partly sunny,Algeria,23-04-21 4:20,120363,3181,83900,33282,274.4814986,2.642838746
112,04-23-2021,16ʡC,Partly sunny,Algeria,24-04-21 4:20,120562,3190,84038,33334,274.9353077,2.645941507
113,04-24-2021,16ʡC,Partly sunny,Algeria,25-04-21 4:20,120736,3198,84167,33371,275.3321056,2.648754307
114,04-25-2021,26ʡC,Partly sunny,Algeria,26-04-21 4:21,120922,3207,84299,33416,275.7562688,2.652122856
115,04-26-2021,22ʡC,Scattered clouds,Algeria,27-04-21 4:20,121112,3217,84440,33455,276.1895538,2.656219037
116,04-27-2021,21ʡC,Partly sunny,Algeria,28-04-21 4:20,121344,3225,84598,33521,276.7186176,2.657733386
117,04-28-2021,24ʡC,Scattered clouds,Algeria,29-04-21 4:20,121580,3234,84745,33601,277.2568032,2.65997697
118,04-29-2021,24ʡC,Passing clouds,Algeria,30-04-21 4:21,121866,3244,84940,33682,277.9090112,2.661940164
119,04-30-2021,21ʡC,Partly sunny,Algeria,01-05-21 4:20,122108,3253,85108,33747,278.4608795,2.664035116
120,05-01-21,18ʡC,Partly sunny,Algeria,02-05-21 4:20,122311,3261,85249,33801,278.9238103,2.666154312
121,05-02-21,19ʡC,Overcast,Algeria,03-05-21 4:20,122522,3270,85398,33854,279.4049847,2.668908441
122,05-03-21,18ʡC,Overcast,Algeria,04-05-21 4:20,122717,3280,85534,33903,279.849672,2.672816317
123,05-04-21,18ʡC,Partly sunny,Algeria,05-05-21 4:20,122999,3289,85693,34017,280.4927582,2.67400548
124,05-05-21,18ʡC,Overcast,Algeria,06-05-21 4:20,123272,3299,85869,34104,281.1153203,2.67619573
125,05-06-21,18ʡC,Overcast,Algeria,07-05-21 4:20,123473,3307,86007,34159,281.5736903,2.678318337
126,05-07-21,21ʡC,Sunny,Algeria,08-05-21 4:21,123692,3315,86149,34228,282.0731083,2.68004398
127,05-08-21,23ʡC,Sunny,Algeria,09-05-21 4:20,123900,3321,86280,34299,282.5474413,2.680387409
128,05-09-21,24ʡC,Partly sunny,Algeria,10-05-21 4:20,124104,3328,86420,34356,283.0126526,2.681621866
129,05-10-21,22ʡC,Partly sunny,Algeria,11-05-21 4:20,124288,3335,86554,34399,283.432255,2.683283986
130,05-11-21,21ʡC,Passing clouds,Algeria,12-05-21 4:21,124483,3343,86703,34437,283.8769422,2.685507258
131,05-12-21,18ʡC,Sunny,Algeria,13-05-21 4:20,124682,3350,86857,34475,284.3307513,2.686835309
132,05-13-2021,22ʡC,Sunny,Algeria,14-05-21 4:20,124889,3355,87003,34531,284.8028039,2.68638551
133,05-14-2021,23ʡC,Passing clouds,Algeria,15-05-21 4:20,125059,3360,87137,34562,285.19048,2.686731863
134,05-15-2021,20ʡC,Scattered clouds,Algeria,16-05-21 4:20,125194,3366,87251,34577,285.4983404,2.688627251
135,05-16-2021,23ʡC,Sunny,Algeria,17-05-21 4:20,125311,3374,87359,34578,285.7651527,2.692501057
136,05-17-2021,23ʡC,Scattered clouds,Algeria,18-05-21 4:20,125485,3381,87476,34628,286.1619506,2.694345938
137,05-18-2021,19ʡC,Scattered clouds,Algeria,19-05-21 4:20,125693,3388,87609,34696,286.6362837,2.69545639
138,05-19-2021,20ʡC,Partly sunny,Algeria,20-05-21 4:21,125896,3395,87746,34755,287.0992145,2.696670268
139,05-20-2021,19ʡC,Scattered clouds,Algeria,21-05-21 4:20,126156,3401,87902,34853,287.6921308,2.695868607
140,05-21-2021,20ʡC,Scattered clouds,Algeria,22-05-21 4:20,126434,3405,88066,34963,288.3260952,2.693104703
141,05-22-2021,22ʡC,Sunny,Algeria,23-05-21 4:20,126651,3411,88208,35032,288.8209523,2.693227847
142,05-23-2021,20ʡC,Partly sunny,Algeria,24-05-21 4:20,126860,3418,88346,35096,289.2975659,2.694308687
143,05-24-2021,20ʡC,Scattered clouds,Algeria,25-05-21 4:21,127107,3426,88497,35184,289.8608364,2.695366896
144,05-25-2021,19ʡC,Passing clouds,Algeria,26-05-21 4:20,127361,3433,88672,35256,290.44007,2.69548763
145,05-26-2021,19ʡC,Overcast,Algeria,27-05-21 4:20,127646,3440,88861,35345,291.0899976,2.69495323
146,05-27-2021,19ʡC,Overcast,Algeria,28-05-21 4:20,127926,3448,89040,35438,291.7285229,2.695308225
147,05-28-2021,21ʡC,Overcast,Algeria,29-05-21 4:20,128198,3455,89232,35511,292.3488046,2.695049845
148,05-29-2021,19ʡC,Partly sunny,Algeria,30-05-21 4:20,128456,3460,89419,35577,292.93716,2.693529302
149,05-30-2021,19ʡC,Partly sunny,Algeria,31-05-21 3:08,128725,3465,89625,35635,293.5506004,2.691784813
150,05-31-2021,23ʡC,Partly sunny,Algeria,01-06-21 4:23,128913,3472,89839,35602,293.9793245,2.693289273
151,06-01-21,23ʡC,Overcast,Algeria,02-06-21 4:24,129218,3480,90057,35681,294.674861,2.693123249
152,06-02-21,22ʡC,Passing clouds,Algeria,03-06-21 4:23,129640,3490,90281,35869,295.6372098,2.692070349
153,06-03-21,22ʡC,Overcast,Algeria,04-06-21 4:23,129976,3497,90517,35962,296.4034402,2.690496707
154,06-04-21,23ʡC,Overcast,Algeria,05-06-21 4:23,130361,3504,90767,36090,297.2814124,2.687920467
155,06-05-21,21ʡC,Thunderstorms Overcast,Algeria,06-06-21 4:24,130681,3510,90995,36176,298.0111556,2.68592986
156,06-06-21,22ʡC,Overcast,Algeria,07-06-21 4:22,130958,3518,91198,36242,298.6428396,2.686357458
157,06-07-21,22ʡC,Passing clouds,Algeria,08-06-21 4:22,131283,3527,91413,36343,299.383985,2.686562617
158,06-08-21,22ʡC,Scattered clouds,Algeria,09-06-21 4:23,131647,3537,91651,36459,300.2140679,2.686730423
159,06-09-21,23ʡC,Sunny,Algeria,10-06-21 4:23,132034,3544,91894,36596,301.0966011,2.684157111
160,06-10-21,24ʡC,Scattered clouds,Algeria,11-06-21 4:23,132355,3552,92132,36671,301.8286247,2.683691587
161,06-11-21,24ʡC,Passing clouds,Algeria,12-06-21 4:22,132727,3560,92384,36783,302.6769512,2.682197292
162,06-12-21,23ʡC,Passing clouds,Algeria,13-06-21 4:22,133070,3565,92620,36885,303.4591446,2.679041106
163,06-13-2021,22ʡC,Partly sunny,Algeria,14-06-21 4:22,133388,3571,92852,36965,304.1843269,2.677152368
164,06-14-2021,23ʡC,Partly sunny,Algeria,15-06-21 4:22,133742,3579,93094,37069,304.9916053,2.676047913
165,06-15-2021,25ʡC,Scattered clouds,Algeria,16-06-21 4:22,134115,3588,93355,37172,305.8422122,2.67531596
166,06-16-2021,24ʡC,Scattered clouds,Algeria,17-06-21 4:22,134458,3598,93586,37274,306.6244057,2.675928543
167,06-17-2021,24ʡC,Overcast,Algeria,18-06-21 4:22,134840,3605,93831,37404,307.4955367,2.673539009
168,06-18-2021,24ʡC,Scattered clouds,Algeria,19-06-21 4:22,135219,3615,94093,37511,308.3598262,2.673440863
169,06-19-2021,24ʡC,Scattered clouds,Algeria,20-06-21 4:21,135586,3624,94336,37626,309.1967505,2.672842329
170,06-20-2021,24ʡC,Overcast,Algeria,21-06-21 4:21,135821,3631,94571,37619,309.7326556,2.67337157
171,06-21-2021,23ʡC,Passing clouds,Algeria,22-06-21 4:21,136294,3641,94822,37831,310.8113073,2.671430877
172,06-22-2021,23ʡC,Sunny,Algeria,23-06-21 4:21,136679,3650,95084,37945,311.6892795,2.670490712
173,06-23-2021,24ʡC,Scattered clouds,Algeria,24-06-21 4:21,137049,3660,95331,38058,312.5330451,2.670577677
174,06-24-2021,23ʡC,Scattered clouds,Algeria,25-06-21 4:21,137403,3669,95599,38135,313.3403235,2.670247375
175,06-25-2021,23ʡC,Overcast,Algeria,26-06-21 4:21,137772,3678,95878,38216,314.1818086,2.669628081
176,06-26-2021,23ʡC,Overcast,Algeria,27-06-21 4:21,138113,3685,96108,38320,314.9594412,2.668105102
177,06-27-2021,24ʡC,Scattered clouds,Algeria,28-06-21 4:21,138465,3693,96335,38437,315.7621587,2.667099989
178,06-28-2021,24ʡC,Partly sunny,Algeria,29-06-21 4:21,138840,3699,96572,38569,316.6173265,2.664217805
179,06-29-2021,24ʡC,Passing clouds,Algeria,30-06-21 4:21,139229,3708,96815,38706,317.5044206,2.663238262
180,06-30-2021,24ʡC,Scattered clouds,Algeria,01-07-21 4:21,139626,3716,97089,38821,318.4097582,2.661395442
181,07-01-21,24ʡC,Passing clouds,Algeria,02-07-21 4:21,140075,3726,97380,38969,319.4336791,2.66000357
182,07-02-21,25ʡC,Scattered clouds,Algeria,03-07-21 4:21,140550,3735,97701,39114,320.5168917,2.657417289
183,07-03-21,22ʡC,Fog,Algeria,04-07-21 4:21,141007,3745,98031,39231,321.5590562,2.655896516
184,07-04-21,34ʡC,Sunny,Algeria,05-07-21 4:21,141471,3755,98387,39329,322.6171838,2.654254229
185,07-05-21,26ʡC,Sunny,Algeria,06-07-21 4:21,141966,3765,98748,39453,323.7460053,2.652043447
186,07-06-21,30ʡC,Passing clouds,Algeria,07-07-21 4:21,142447,3775,99101,39571,324.8429005,2.650108461
187,07-07-21,30ʡC,Passing clouds,Algeria,08-07-21 4:21,143032,3786,99510,39736,326.1769623,2.646960121
188,07-08-21,26ʡC,Scattered clouds,Algeria,09-07-21 4:21,143652,3798,99931,39923,327.5908397,2.643889399
189,07-09-21,25ʡC,Partly sunny,Algeria,10-07-21 4:21,144483,3811,100383,40289,329.4858916,2.637680558
190,07-10-21,25ʡC,Passing clouds,Algeria,11-07-21 4:21,145296,3824,100911,40561,331.3398954,2.631868737
191,07-11-21,24ʡC,Sunny,Algeria,12-07-21 4:21,146064,3836,101430,40798,333.091279,2.626246029
192,07-12-21,28ʡC,Overcast,Algeria,13-07-21 4:21,146942,3851,102010,41081,335.0935119,2.620761933
193,07-13-2021,24ʡC,Overcast,Algeria,14-07-21 4:21,147883,3867,102594,41422,337.239413,2.614905026
194,07-14-2021,23ʡC,Scattered clouds,Algeria,15-07-21 4:21,148797,3882,103192,41723,339.323742,2.608923567
195,07-15-2021,24ʡC,Scattered clouds,Algeria,16-07-21 4:21,149906,3895,103809,42202,341.8527582,2.598294931
196,07-16-2021,24ʡC,Scattered clouds,Algeria,17-07-21 4:22,151103,3910,104397,42796,344.5824538,2.587638895
197,07-17-2021,24ʡC,Sunny,Algeria,18-07-21 4:22,152210,3922,104992,43296,347.1069092,2.576703239
198,07-18-2021,26ʡC,Sunny,Algeria,19-07-21 4:21,153309,3938,105604,43767,349.6131209,2.568668506
199,07-19-2021,24ʡC,Sunny,Algeria,20-07-21 4:21,154486,3956,106337,44193,352.2972076,2.560749841
200,07-20-2021,24ʡC,Sunny,Algeria,21-07-21 4:21,155784,3979,107041,44764,355.2572284,2.554177579
201,07-21-2021,25ʡC,Sunny,Algeria,22-07-21 4:21,157005,3994,107776,45235,358.0416548,2.54386803
202,07-22-2021,27ʡC,Sunny,Algeria,23-07-21 4:21,158213,4008,108537,45668,360.7964353,2.533293724
203,07-23-2021,25ʡC,Sunny,Algeria,24-07-21 0:21,159563,4026,109349,46188,363.8750394,2.52314133
204,07-24-2021,34ʡC,Sunny,Algeria,25-07-21 4:22,160868,4042,109951,46875,366.8510234,2.512619042
205,07-25-2021,29ʡC,Partly sunny,Algeria,26-07-21 4:21,162155,4063,110577,47515,369.7859593,2.505627332
206,07-26-2021,27ʡC,Thundershowers Overcast,Algeria,27-07-21 4:21,163660,4087,111322,48251,373.2180327,2.497250397
207,07-27-2021,25ʡC,Scattered clouds,Algeria,28-07-21 4:21,165204,4112,112050,49042,376.7390436,2.489043849
208,07-28-2021,27ʡC,Scattered clouds,Algeria,29-07-21 4:21,167131,4161,112900,50070,381.1334659,2.489663797
209,07-29-2021,27ʡC,Partly sunny,Algeria,30-07-21 4:21,168668,4189,113707,50772,384.6385136,2.483577205
210,07-30-2021,26ʡC,Partly sunny,Algeria,31-07-21 4:21,170189,4219,114531,51439,388.1070742,2.479008632
211,07-31-2021,30ʡC,Scattered clouds,Algeria,01-08-21 4:21,171392,4254,115276,51862,390.8504525,2.4820295
212,08-03-21,25ʡC,Passing clouds,Algeria,04-08-21 4:21,175229,4370,117557,53302,399.6005295,2.493879438
213,08-04-21,25ʡC,Passing clouds,Algeria,05-08-21 4:21,176724,4404,118409,53911,403.0097984,2.492021457
214,08-05-21,26ʡC,Sunny,Algeria,06-08-21 4:21,178013,4441,,,405.9492952,2.494761619
215,08-06-21,25ʡC,Sunny,Algeria,07-08-21 4:21,179216,4487,,,408.6926735,2.503682707
216,08-07-21,27ʡC,Sunny,Algeria,08-08-21 4:21,180356,4520,,,411.2923836,2.506154494
217,08-01-21,,,Algeria,02-08-21 4:21,172564,4291,116009,52264,393.523137,2.486613662
218,08-02-21,,,Algeria,03-08-21 4:21,173922,4329,116770,52823,396.6199846,2.489046814
219,08-08-21,,,Algeria,09-08-21 4:21,181376,4550,,,413.61844,2.508600917
