,date,temp,weather,Country_Region,Last Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
54,03-16-2020,17ʡC,Overcast,Algeria,2020-03-16T14:38:45,54,4,12,,,
55,03-17-2020,17ʡC,Overcast,Algeria,2020-03-17T03:13:15,60,4,12,,,
56,03-18-2020,16ʡC,Overcast,Algeria,2020-03-18T19:53:03,74,7,12,,,
57,03-19-2020,16ʡC,Partly sunny,Algeria,2020-03-19T16:13:36,87,9,32,,,
58,03-20-2020,16ʡC,Scattered clouds,Algeria,2020-03-20T15:43:24,90,11,32,,,
59,03-21-2020,16ʡC,Overcast,Algeria,2020-03-21T17:43:03,139,15,32,,,
60,03-22-2020,18ʡC,Passing clouds,Algeria,,201,17,65,119,,
61,03-23-2020,16ʡC,Partly sunny,Algeria,,230,17,65,148,,
62,03-24-2020,15ʡC,Overcast,Algeria,,264,19,24,221,,
63,03-25-2020,13ʡC,Partly sunny,Algeria,,302,21,65,216,,
64,03-26-2020,12ʡC,Thundershowers Overcast,Algeria,,367,25,29,313,,
65,03-27-2020,14ʡC,Passing clouds,Algeria,,409,26,29,354,,
66,03-28-2020,15ʡC,Scattered clouds,Algeria,,454,29,31,394,,
67,03-29-2020,17ʡC,Scattered clouds,Algeria,,511,31,31,449,,
68,03-30-2020,17ʡC,Scattered clouds,Algeria,,584,35,37,512,,
69,03-31-2020,22ʡC,Partly sunny,Algeria,,716,44,46,626,,
70,04-01-20,17ʡC,Partly sunny,Algeria,,847,58,61,728,,
71,04-02-20,17ʡC,Scattered clouds,Algeria,,986,86,61,839,,
72,04-03-20,16ʡC,Light rain Overcast,Algeria,,1171,105,62,1004,,
73,04-04-20,16ʡC,Passing clouds,Algeria,,1251,130,90,1031,,
74,04-20-2020,18ʡC,Scattered clouds,Algeria,,2718,384,1099,1235,,
75,04-21-2020,18ʡC,Partly sunny,Algeria,,2811,392,1152,1267,,
76,04-22-2020,17ʡC,Light rain Overcast,Algeria,,2910,402,1204,1304,,
77,04-23-2020,17ʡC,Partly sunny,Algeria,,3007,407,1355,1245,,
78,04-24-2020,17ʡC,Scattered clouds,Algeria,,3127,415,1408,1304,,
79,04-25-2020,22ʡC,Overcast,Algeria,,3256,419,1479,1358,,
80,04-26-2020,20ʡC,Partly sunny,Algeria,,3382,425,1508,1449,,
81,04-27-2020,23ʡC,Scattered clouds,Algeria,,3517,432,1558,1527,,
82,04-28-2020,20ʡC,Partly sunny,Algeria,,3649,437,1651,1561,,
83,05-01-20,24ʡC,Scattered clouds,Algeria,,4154,453,1821,1880,,
84,05-02-20,27ʡC,Scattered clouds,Algeria,,4295,459,1872,1964,,
85,05-03-20,24ʡC,Scattered clouds,Algeria,,4474,463,1936,2075,,
86,05-04-20,24ʡC,Scattered clouds,Algeria,,4648,465,1998,2185,,
87,05-05-20,28ʡC,Scattered clouds,Algeria,,4838,470,2067,2301,,
88,05-07-20,21ʡC,Partly sunny,Algeria,,5182,483,2323,2376,,
89,05-08-20,22ʡC,Partly sunny,Algeria,,5369,488,2467,2414,,
90,05-09-20,24ʡC,Partly sunny,Algeria,,5558,494,2546,2518,,
91,05-10-20,22ʡC,Overcast,Algeria,,5723,502,2678,2543,,
92,05-11-20,22ʡC,Passing clouds,Algeria,,5891,507,2841,2543,,
93,05-12-20,22ʡC,Partly sunny,Algeria,,6067,515,2998,2554,,
94,05-13-2020,21ʡC,Partly sunny,Algeria,,6253,522,3058,2673,,
95,05-14-2020,21ʡC,Scattered clouds,Algeria,,6442,529,3158,2755,,
96,05-15-2020,20ʡC,Partly sunny,Algeria,,6629,536,3271,2822,,
97,05-16-2020,20ʡC,Partly sunny,Algeria,,6821,542,3409,2870,,
98,05-17-2020,19ʡC,Overcast,Algeria,,7019,548,3507,2964,,
99,05-18-2020,21ʡC,Partly sunny,Algeria,,7201,555,3625,3021,,
100,05-19-2020,27ʡC,Passing clouds,Algeria,,7377,561,3746,3070,,
101,05-20-2020,24ʡC,Sunny,Algeria,,7542,568,3968,3006,,
102,05-21-2020,23ʡC,Sunny,Algeria,,7728,575,4062,3091,,
103,05-22-2020,23ʡC,Sunny,Algeria,,7918,582,4256,3080,,
104,05-23-2020,23ʡC,Sunny,Algeria,,8113,592,4426,3095,,
105,05-24-2020,22ʡC,Passing clouds,Algeria,,8306,600,4784,2922,,
106,05-25-2020,21ʡC,Scattered clouds,Algeria,,8503,609,4747,3147,,
107,05-26-2020,21ʡC,Passing clouds,Algeria,,8697,617,4918,3162,,
108,05-27-2020,21ʡC,Partly sunny,Algeria,,8857,623,5129,3105,,
109,05-28-2020,22ʡC,Passing clouds,Algeria,,8997,630,5277,3090,,
110,05-29-2020,20ʡC,Partly sunny,Algeria,,9134,638,5422,3074,,
111,05-30-2020,21ʡC,Passing clouds,Algeria,,9267,646,5549,3072,,
112,05-31-2020,23ʡC,Passing clouds,Algeria,,9394,653,5748,2993,,
113,06-01-20,21ʡC,Partly sunny,Algeria,,9513,661,5894,2958,,
114,06-02-20,21ʡC,Scattered clouds,Algeria,,9626,667,6067,2892,,
115,06-03-20,26ʡC,Scattered clouds,Algeria,,9733,673,6218,2842,,
116,06-04-20,27ʡC,Sunny,Algeria,,9831,681,6297,2853,,
117,06-05-20,25ʡC,Scattered clouds,Algeria,,9935,690,6453,2792,,
118,06-06-20,28ʡC,Partly sunny,Algeria,,10050,698,6631,2721,,
119,06-07-20,27ʡC,Scattered clouds,Algeria,,10154,707,6717,2730,,
120,06-08-20,24ʡC,Partly sunny,Algeria,,10265,715,6799,2751,,
121,06-09-20,21ʡC,Scattered clouds,Algeria,,10382,724,6951,2707,,
122,06-10-20,21ʡC,Scattered clouds,Algeria,,10484,732,7074,2678,,
123,06-11-20,28ʡC,Sunny,Algeria,,10589,741,7255,2593,,
124,06-12-20,26ʡC,Passing clouds,Algeria,,10698,751,7322,2625,,
125,06-13-2020,24ʡC,Scattered clouds,Algeria,,10810,760,7420,2630,,
126,06-14-2020,24ʡC,Scattered clouds,Algeria,,10919,767,7606,2546,,
127,06-15-2020,27ʡC,Sunny,Algeria,,11031,777,7735,2519,,
128,06-16-2020,28ʡC,Passing clouds,Algeria,,11147,788,7842,2517,,
129,06-17-2020,22ʡC,Passing clouds,Algeria,,11268,799,7943,2526,,
130,06-18-2020,23ʡC,Overcast,Algeria,,11385,811,8078,2496,,
131,06-19-2020,24ʡC,Passing clouds,Algeria,,11504,825,8196,2483,,
132,06-20-2020,23ʡC,Passing clouds,Algeria,,11631,837,8324,2470,,
133,06-21-2020,24ʡC,Scattered clouds,Algeria,,11771,845,8422,2504,,
134,06-22-2020,24ʡC,Sunny,Algeria,,11920,852,8559,2509,,
135,06-23-2020,24ʡC,Passing clouds,Algeria,,12076,861,8674,2541,,
136,06-24-2020,24ʡC,Sunny,Algeria,,12248,869,8792,2587,,
137,06-25-2020,25ʡC,Partly sunny,Algeria,,12445,878,8920,2647,,
138,06-26-2020,26ʡC,Overcast,Algeria,,12685,885,9066,2734,,
139,06-27-2020,26ʡC,Sunny,Algeria,,12968,892,9202,2874,,
140,06-28-2020,24ʡC,Passing clouds,Algeria,,13273,897,9371,3005,,
141,06-29-2020,24ʡC,Passing clouds,Algeria,,13571,905,9674,2992,,
142,06-30-2020,28ʡC,Passing clouds,Algeria,,13907,912,9897,3098,,
143,07-01-20,31ʡC,Sunny,Algeria,,14272,920,10040,3312,,
144,07-02-20,34ʡC,Sunny,Algeria,,14657,928,10342,3387,,
145,07-03-20,25ʡC,Passing clouds,Algeria,,15070,937,10832,3301,,
146,07-04-20,24ʡC,Passing clouds,Algeria,,15500,946,11181,3373,,
147,07-05-20,24ʡC,Sunny,Algeria,,15941,952,11492,3497,,
148,07-06-20,25ʡC,Passing clouds,Algeria,,16404,959,11884,3561,,
149,07-07-20,26ʡC,Sunny,Algeria,,16879,968,12094,3817,,
150,07-08-20,24ʡC,Sunny,Algeria,,17348,978,12329,4041,,
151,07-09-20,26ʡC,Sunny,Algeria,,17808,988,12637,4183,,
152,07-10-20,27ʡC,Partly sunny,Algeria,,18242,996,13124,4122,,
153,07-11-20,27ʡC,Passing clouds,Algeria,,18712,1004,13124,4584,,
154,07-12-20,24ʡC,Partly sunny,Algeria,,19195,1011,13743,4441,,
155,07-13-2020,25ʡC,Partly sunny,Algeria,,19689,1018,14019,4652,,
156,07-14-2020,24ʡC,Scattered clouds,Algeria,,20216,1028,14295,4893,,
157,07-15-2020,25ʡC,Passing clouds,Algeria,,20770,1040,14792,4938,,
158,07-16-2020,25ʡC,Sunny,Algeria,,21355,1052,15107,5196,,
159,07-17-2020,24ʡC,Partly sunny,Algeria,,21948,1057,15430,5461,,
160,07-18-2020,25ʡC,Passing clouds,Algeria,,22549,1068,15744,5737,,
161,07-19-2020,24ʡC,Sunny,Algeria,,23084,1078,16051,5955,,
162,07-20-2020,25ʡC,Passing clouds,Algeria,,23691,1087,16400,6204,,
163,07-21-2020,26ʡC,Passing clouds,Algeria,,24278,1100,16646,6532,,
164,07-22-2020,26ʡC,Passing clouds,Algeria,,24872,1111,16983,6778,,
165,07-23-2020,29ʡC,Passing clouds,Algeria,,25484,1124,17369,6991,,
166,07-24-2020,25ʡC,Sunny,Algeria,,26159,1136,17369,7654,,
167,07-25-2020,26ʡC,Sunny,Algeria,,26764,1146,18076,7542,,
168,07-26-2020,26ʡC,Sunny,Algeria,,27357,1155,18088,8114,,
169,07-27-2020,24ʡC,Scattered clouds,Algeria,,27973,1163,18837,7973,,
170,07-28-2020,26ʡC,Sunny,Algeria,,28615,1174,19233,8208,,
171,07-29-2020,26ʡC,Partly sunny,Algeria,,29229,1186,19592,8451,,
172,07-30-2020,25ʡC,Scattered clouds,Algeria,,29831,1200,20082,8549,,
173,07-31-2020,28ʡC,Passing clouds,Algeria,,30394,1210,20537,8647,,
174,08-01-20,28ʡC,Sunny,Algeria,,30950,1223,20988,8739,,
175,08-02-20,29ʡC,Fog,Algeria,,31465,1231,21419,8815,,
176,08-03-20,31ʡC,Passing clouds,Algeria,,31972,1239,21901,8832,,
177,08-04-20,26ʡC,Scattered clouds,Algeria,,32504,1248,22375,8881,,
178,08-05-20,25ʡC,Sunny,Algeria,,33055,1261,22802,8992,,
179,08-06-20,26ʡC,Passing clouds,Algeria,,33626,1273,23238,9115,,
180,08-07-20,26ʡC,Sunny,Algeria,,34155,1282,23667,9206,,
181,08-08-20,27ʡC,Sunny,Algeria,,34693,1293,24083,9317,,
182,08-09-20,26ʡC,Sunny,Algeria,,35160,1302,24506,9352,,
183,08-10-20,28ʡC,Sunny,Algeria,,35712,1312,24920,9480,,
184,08-11-20,26ʡC,Partly sunny,Algeria,,36204,1322,25263,9619,,
185,08-12-20,30ʡC,Scattered clouds,Algeria,,36699,1333,25627,9739,,
186,08-13-2020,28ʡC,Overcast,Algeria,,37187,1341,26004,9842,,
187,08-14-2020,25ʡC,Fog,Algeria,,37664,1351,26308,10005,,
188,08-15-2020,28ʡC,Partly sunny,Algeria,,38133,1360,26644,10129,,
189,08-16-2020,30ʡC,Partly sunny,Algeria,,38583,1370,27017,10196,,
190,08-17-2020,27ʡC,Scattered clouds,Algeria,,39025,1379,27347,10299,,
191,08-18-2020,27ʡC,Sunny,Algeria,,39444,1391,27653,10400,,
192,08-19-2020,26ʡC,Passing clouds,Algeria,,39847,1402,27971,10474,,
193,08-20-2020,29ʡC,Scattered clouds,Algeria,,40258,1411,28281,10566,,
194,08-21-2020,28ʡC,Scattered clouds,Algeria,,40667,1418,28587,10662,,
195,08-22-2020,27ʡC,Sunny,Algeria,,41068,1424,28874,10770,,
196,08-23-2020,27ʡC,Passing clouds,Algeria,,41460,1435,29142,10883,,
197,08-24-2020,27ʡC,Scattered clouds,Algeria,,41858,1446,29369,11043,,
198,08-25-2020,28ʡC,Sunny,Algeria,,42228,1456,29587,11185,,
199,08-26-2020,26ʡC,Sunny,Algeria,,42619,1465,29886,11268,,
200,08-27-2020,27ʡC,Passing clouds,Algeria,,43016,1475,30157,11384,,
201,08-28-2020,26ʡC,Passing clouds,Algeria,,43403,1483,30436,11484,,
202,08-29-2020,34ʡC,Passing clouds,Algeria,,43781,1491,30717,11573,,
203,08-30-2020,25ʡC,Overcast,Algeria,,44146,1501,30978,11667,,
204,08-31-2020,25ʡC,Passing clouds,Algeria,,44494,1510,31244,11740,,
205,09-01-20,24ʡC,Passing clouds,Algeria,,44833,1518,31493,11822,,
206,09-02-20,25ʡC,Partly sunny,Algeria,,45158,1523,31746,11889,,
207,09-03-20,25ʡC,Scattered clouds,Algeria,,45469,1529,32006,11934,,
208,09-04-20,24ʡC,Passing clouds,Algeria,,45773,1539,32259,11975,,
209,09-05-20,25ʡC,Sunny,Algeria,,46071,1549,32481,12041,,
210,09-06-20,26ʡC,Scattered clouds,Algeria,,46364,1556,32745,12063,,
211,09-07-20,26ʡC,Scattered clouds,Algeria,,46653,1562,32985,12106,,
212,09-08-20,22ʡC,Light rain Overcast,Algeria,,46938,1571,33183,12184,,
213,09-09-20,23ʡC,Partly sunny,Algeria,,47216,1581,33379,12256,,
214,09-10-20,26ʡC,Partly sunny,Algeria,,47488,1591,33562,12335,,
215,09-11-20,25ʡC,Scattered clouds,Algeria,,47752,1599,33723,12430,,
216,09-12-20,26ʡC,Passing clouds,Algeria,,48007,1605,33875,12527,,
217,09-13-2020,26ʡC,Passing clouds,Algeria,,48254,1612,34037,12605,,
218,09-14-2020,25ʡC,Passing clouds,Algeria,,48496,1620,34204,12672,,
219,09-15-2020,25ʡC,Partly sunny,Algeria,,48734,1632,34385,12717,,
220,09-16-2020,25ʡC,Passing clouds,Algeria,,48966,1645,34517,12804,,
221,09-17-2020,27ʡC,Partly sunny,Algeria,,49194,1654,34675,12865,,
222,09-18-2020,27ʡC,Partly sunny,Algeria,,49413,1659,34818,12936,,
223,09-19-2020,28ʡC,Scattered clouds,Algeria,,49623,1665,34923,13035,,
224,09-20-2020,25ʡC,Passing clouds,Algeria,,49826,1672,35047,13107,,
225,09-21-2020,24ʡC,Partly sunny,Algeria,,50023,1679,35180,13164,,
226,09-22-2020,24ʡC,Partly sunny,Algeria,,50214,1689,35307,13218,,
227,09-23-2020,28ʡC,Overcast,Algeria,,50400,1698,35428,13274,,
228,09-24-2020,29ʡC,Scattered clouds,Algeria,,50579,1703,35544,13332,,
229,09-25-2020,29ʡC,Scattered clouds,Algeria,,50754,1707,35654,13393,,
230,09-26-2020,24ʡC,Partly sunny,Algeria,,50914,1711,35756,13447,,
231,09-27-2020,24ʡC,Partly sunny,Algeria,,51067,1714,35860,13493,,
232,09-28-2020,23ʡC,Passing clouds,Algeria,,51213,1719,35962,13532,,
233,09-29-2020,23ʡC,Passing clouds,Algeria,,51368,1726,36063,13579,,
234,09-30-2020,24ʡC,Partly sunny,Algeria,,51530,1736,36174,13620,,
235,10-01-20,25ʡC,Overcast,Algeria,,51690,1741,36282,13667,,
236,10-02-20,26ʡC,Partly sunny,Algeria,,51847,1749,36385,13713,,
237,10-03-20,17ʡC,Partly sunny,Algeria,,51995,1756,36482,13757,,
238,10-04-20,21ʡC,Scattered clouds,Algeria,,52136,1760,36578,13798,,
239,10-05-20,22ʡC,Overcast,Algeria,,52270,1768,36672,13830,,
240,10-06-20,22ʡC,Scattered clouds,Algeria,,52399,1768,36763,13868,,
241,10-07-20,22ʡC,Partly sunny,Algeria,,52520,1771,36857,13892,,
242,10-08-20,23ʡC,Scattered clouds,Algeria,,52658,1783,36958,13917,,
243,10-09-20,22ʡC,Passing clouds,Algeria,,52804,1789,37067,13948,,
244,10-10-20,22ʡC,Overcast,Algeria,,52940,1795,37170,13975,,
245,10-11-20,23ʡC,Partly sunny,Algeria,,53072,1801,37170,14101,,
246,10-12-20,19ʡC,Partly sunny,Algeria,,53325,1809,37382,14034,,
247,10-13-2020,20ʡC,Scattered clouds,Algeria,,53399,1818,37492,14089,,
248,10-14-2020,23ʡC,Scattered clouds,Algeria,,53584,1827,37603,14154,,
249,10-15-2020,20ʡC,Light rain Overcast,Algeria,,53777,1827,37603,14347,,
250,10-16-2020,19ʡC,Partly sunny,Algeria,,53998,1841,37856,14301,,
251,10-17-2020,21ʡC,Sunny,Algeria,,54203,1846,37971,14386,,
252,10-18-2020,21ʡC,Sunny,Algeria,,54402,1856,38088,14458,,
253,10-19-2020,22ʡC,Sunny,Algeria,,54616,1865,38215,14536,,
254,10-20-2020,28ʡC,Passing clouds,Algeria,,54829,1873,38346,14610,,
255,10-21-2020,25ʡC,Overcast,Algeria,,55081,1880,38482,14719,,
256,10-22-2020,27ʡC,Partly sunny,Algeria,,55357,1888,38618,14851,,
257,10-23-2020,22ʡC,Partly sunny,Algeria,,55630,1897,38788,14945,,
258,10-24-2020,21ʡC,Partly sunny,Algeria,,55880,1907,38932,15041,,
259,10-25-2020,22ʡC,Sunny,Algeria,,56143,1914,39095,15134,,
260,10-26-2020,21ʡC,Partly sunny,Algeria,,56419,1922,39273,15224,,
261,10-27-2020,18ʡC,Scattered clouds,Algeria,,56706,1931,39444,15331,,
262,10-28-2020,21ʡC,Scattered clouds,Algeria,,57026,1941,39635,15450,,
263,10-29-2020,20ʡC,Sunny,Algeria,,57332,1949,39635,15748,,
264,10-30-2020,20ʡC,Sunny,Algeria,,57651,1956,40014,15681,,
265,10-31-2020,20ʡC,Sunny,Algeria,,57942,1964,40201,15777,,
266,11-01-20,19ʡC,Scattered clouds,Algeria,,58272,1973,40395,15904,,
267,11-02-20,19ʡC,Sunny,Algeria,,58574,1980,40577,16017,,
268,11-03-20,21ʡC,Passing clouds,Algeria,,58979,1980,40577,16422,,
269,11-04-20,19ʡC,Overcast,Algeria,,59527,1999,41001,16527,,
270,11-05-20,22ʡC,Overcast,Algeria,,60169,2011,41244,16914,,
271,11-06-20,28ʡC,Overcast,Algeria,,60800,2024,41510,17266,,
272,11-07-20,24ʡC,Overcast,Algeria,,61381,2036,41783,17562,,
273,11-08-20,22ʡC,Scattered clouds,Algeria,,62051,2048,42037,17966,,
274,11-09-20,22ʡC,Partly sunny,Algeria,,62693,2062,42325,18306,142.9680931,3.289043434
275,11-10-20,20ʡC,Overcast,Algeria,,63446,2077,42626,18743,144.6852701,3.273650033
276,11-11-20,19ʡC,Overcast,Algeria,,64257,2093,42980,19184,146.534713,3.257232675
277,11-12-20,22ʡC,Passing clouds,Algeria,,65108,2111,42980,20017,148.4753738,3.242305093
278,11-13-2020,24ʡC,Partly sunny,Algeria,,65975,2124,43779,20072,150.4525217,3.219401288
279,11-14-2020,20ʡC,Overcast,Algeria,,66819,2139,44199,20481,152.3772194,3.201185292
280,11-15-2020,21ʡC,Partly sunny,Algeria,,67679,2154,44633,20892,154.3384042,3.182671139
281,11-16-2020,22ʡC,Partly sunny,Algeria,,68589,2168,45148,21273,156.4136114,3.160856697
282,11-17-2020,19ʡC,Partly sunny,Algeria,,69591,2186,45148,22257,158.6986198,3.141210789
283,11-18-2020,20ʡC,Passing clouds,Algeria,,70629,2206,46326,22097,161.0657243,3.123362925
284,11-19-2020,18ʡC,Passing clouds,Algeria,,71652,2224,46962,22466,163.398622,3.103891029
285,11-20-2020,19ʡC,Partly sunny,Algeria,,72755,2236,47581,22938,165.9139556,3.073328294
286,11-21-2020,17ʡC,Scattered clouds,Algeria,,73774,2255,48183,23336,168.2377315,3.056632418
287,11-22-2020,16ʡC,Partly sunny,Algeria,,74862,2272,48794,23796,170.7188584,3.034917582
288,11-23-2020,17ʡC,Scattered clouds,Algeria,,75867,2294,49421,24152,173.0107081,3.02371255
289,11-24-2020,17ʡC,Passing clouds,Algeria,,77000,2309,50070,24621,175.5944551,2.998701299
290,11-25-2020,19ʡC,Passing clouds,Algeria,,78025,2329,50712,24984,177.9319137,2.984940724
291,11-26-2020,20ʡC,Partly sunny,Algeria,,79110,2352,51334,25424,180.4061992,2.973075465
292,11-27-2020,20ʡC,Overcast,Algeria,,80168,2372,51946,25850,182.8189127,2.958786548
293,11-28-2020,13ʡC,Thundershowers Overcast,Algeria,,81212,2393,52568,26251,185.1996998,2.946608876
294,11-29-2020,17ʡC,Light rain Partly sunny,Algeria,,82221,2410,53204,26607,187.5006713,2.931124652
295,11-30-2020,18ʡC,Passing clouds,Algeria,,83199,2431,53809,26959,189.7309489,2.921910119
296,12-01-20,18ʡC,Scattered clouds,Algeria,,84152,2447,54405,27300,191.9042154,2.907833444
297,12-02-20,17ʡC,Partly sunny,Algeria,,85084,2464,54990,27630,194.0295924,2.895961638
298,12-03-20,14ʡC,Scattered clouds,Algeria,,85927,2480,55538,27909,195.9520096,2.886170819
299,12-04-20,17ʡC,Partly sunny,Algeria,,86730,2492,56079,28159,197.7832089,2.873284907
300,12-05-20,11ʡC,Overcast,Algeria,,87502,2501,56617,28384,199.5437144,2.858220384
301,12-06-20,12ʡC,Partly sunny,Algeria,,88252,2516,57146,28590,201.25405,2.850926891
302,12-07-20,14ʡC,Scattered clouds,Algeria,,88825,2527,57648,28650,202.5607464,2.844919786
303,12-08-20,18ʡC,Partly sunny,Algeria,,89416,2539,58146,28731,203.9084908,2.839536548
304,12-09-20,12ʡC,Partly sunny,Algeria,,90014,2554,58146,29314,205.2721984,2.837336414
305,12-10-20,15ʡC,Partly sunny,Algeria,,90579,2564,59135,28880,206.5606512,2.830678193
306,12-11-20,18ʡC,Overcast,Algeria,,91121,2575,59590,28956,207.7966538,2.825912797
307,12-12-20,19ʡC,Scattered clouds,Algeria,,91638,2584,60028,29026,208.9756451,2.819790916
308,12-13-2020,18ʡC,Scattered clouds,Algeria,,92102,2596,60457,29049,210.0337727,2.818614145
309,12-14-2020,17ʡC,Partly sunny,Algeria,,92597,2609,60888,29100,211.1625942,2.817585883
310,12-15-2020,20ʡC,Scattered clouds,Algeria,,93065,2623,61307,29135,212.2298437,2.818460216
311,12-16-2020,17ʡC,Scattered clouds,Algeria,,93507,2631,61700,29176,213.2378014,2.813693092
312,12-17-2020,18ʡC,Scattered clouds,Algeria,,93933,2640,62089,29204,214.2092721,2.810513877
313,12-18-2020,17ʡC,Overcast,Algeria,,94371,2647,62487,29237,215.208108,2.804887095
314,12-19-2020,15ʡC,Partly sunny,Algeria,,94781,2659,62869,29253,216.1430915,2.805414587
315,12-20-2020,16ʡC,Overcast,Algeria,,95203,2666,63260,29277,217.1054403,2.800331922
316,12-21-2020,16ʡC,Partly sunny,Algeria,,95659,2675,63644,29340,218.1453244,2.796391348
317,12-22-2020,15ʡC,Passing clouds,Algeria,,96069,2687,64020,29362,219.0803079,2.796948027
318,12-23-2020,18ʡC,Sunny,Algeria,,96549,2696,64401,29452,220.1749226,2.792364499
319,12-24-2020,17ʡC,Passing clouds,Algeria,,97007,2705,64777,29525,221.2193676,2.788458565
320,12-25-2020,16ʡC,Partly sunny,Algeria,,97441,2716,65144,29581,222.2090818,2.787327716
321,12-26-2020,13ʡC,Partly sunny,Algeria,,97857,2722,65505,29630,223.1577479,2.7816099
322,12-27-2020,11ʡC,Passing clouds,Algeria,,98249,2728,65862,29659,224.0516833,2.776618592
323,12-28-2020,17ʡC,Passing clouds,Algeria,,98631,2737,66214,29680,224.9228143,2.774989608
324,12-29-2020,13ʡC,Overcast,Algeria,,98988,2745,66550,29693,225.736934,2.773063402
325,12-30-2020,14ʡC,Partly sunny,Algeria,,99311,2751,66855,29705,226.4735185,2.770085892
326,12-31-2020,13ʡC,Passing clouds,Algeria,,99610,2756,67127,29727,227.1553723,2.766790483
327,04-05-20,,,Algeria,,1320,152,90,1078,,
328,04-06-20,,,Algeria,,1423,173,90,1160,,
329,04-07-20,,,Algeria,,1468,193,113,1162,,
330,04-08-20,,,Algeria,,1572,205,237,1130,,
331,04-09-20,,,Algeria,,1666,235,347,1084,,
332,04-10-20,,,Algeria,,1761,256,405,1100,,
333,04-11-20,,,Algeria,,1825,275,460,1090,,
334,04-12-20,,,Algeria,,1914,293,591,1030,,
335,04-13-2020,,,Algeria,,1983,313,601,1069,,
336,04-14-2020,,,Algeria,,2070,326,691,1053,,
337,04-15-2020,,,Algeria,,2160,336,708,1116,,
338,04-16-2020,,,Algeria,,2268,348,783,1137,,
339,04-17-2020,,,Algeria,,2418,364,846,1208,,
340,04-18-2020,,,Algeria,,2534,367,894,1273,,
341,04-19-2020,,,Algeria,,2629,375,1047,1207,,
342,04-29-2020,,,Algeria,,3848,444,1702,1702,,
343,04-30-2020,,,Algeria,,4006,450,1779,1777,,
344,05-06-20,,,Algeria,,4997,476,2197,2324,,
